id,name,source_family,countries,categories,base_url,discovery_method,automation_permitted,expected_update_frequency,default_independence_class,language,last_checked_at,next_review_at,status,notes
reg_19cbb51c9737fa08,Netelek,web,,,https://cloud.netelek.co.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_1f028f58b9cc6575,Mercy Corps,web,,,https://www.mercycorps.org/,human_reviewed_bulk_intake,false,unknown,independent_secondary,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_257c3df796653ef9,OnSSET,web,,,https://onsset.readthedocs.io/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_25c2a0a72ca484b2,Switch Energy,web,,,https://www.switch.org.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_28676a7f85935da5,World Bank ESMAP,web,,,https://www.esmap.org/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_2a5c99c65a3533f8,Smart-View Technology,web,,,https://www.smartviewtechnology.co.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_2bf85a85d9e1f72f,E-Stations,web,,,https://play.google.com/,human_reviewed_bulk_intake,false,unknown,aggregator,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_2f2bb3d84818f2a2,SHYFT Power Solutions,web,,,https://shyftpower.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_31fdc6b36c19f321,MeterX,web,,,https://meterx.co.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_3276a47f6bb63377,Mazi Mobility,web,,,https://mazimobility.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_328e67cb5c3b79a5,Solar MD,web,,,https://www.solarmd.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_342b579ad1b49abf,PaygOps,web,,,https://www.paygops.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_369e33abe8926a09,Bboxx,web,,,https://www.bboxx.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_45822e57a8700a33,AMMP Technologies,web,,,https://www.ammp.io/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_4c7e1158d7dcabf0,Digital Energy Facility — AFD Group,web,,,https://digital-energy.eu/,human_reviewed_bulk_intake,false,unknown,customer_or_official,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_4e3589eee63db6d9,The smarter E AWARD,web,,,https://www.thesmartere-award.com/,human_reviewed_bulk_intake,false,unknown,independent_secondary,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_5d32c0903dfe6e9c,Citiq Prepaid,web,,,https://citiqprepaid.co.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_5dddbdef43b77f81,Enerweb,web,,,https://www.enerweb.co.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_5edae0f5855f7558,International Energy Agency,web,,,https://www.iea.org/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_63e3672eb8825d22,Johannesburg Stock Exchange,web,,,https://www.jse.co.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_716bc02556bf88d0,OSeMOSYS Community,web,,,https://osemosys.readthedocs.io/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_73170bf4a1a94d71,OSeMOSYS Community,web,,,https://osemosys-global.readthedocs.io/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_7db21fe1990b65f6,MyVoltage,web,,,https://www.myvoltage.co.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_8055fc93905afd67,Open Access Energy,web,,,https://openaccess.energy/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_869006413bd28fa6,Pylon,web,,,https://pylonump.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_884c066b8afa261c,Climate Compatible Growth,web,,,https://climatecompatiblegrowth.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_9bc8e5bb5fd82e15,GridCars,web,,,https://gridcars.net/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_a3f43d78b548d601,Adroit Technologies,web,,,https://adroitscada.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_ad5d15b92aa2776d,EV Node,web,,,https://www.ev-node.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_adaafc33fd3f6dac,SAP AG via PR Newswire,web,,,https://www.prnewswire.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_b21f0deb31173ad1,Rubicon,web,,,https://www.rubicon.tech/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_b577b8aa9f71d92e,Spiro,web,,,https://www.spironet.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_b9beea8cfa9915fd,Energize,web,,,https://www.energize.co.za/,human_reviewed_bulk_intake,false,unknown,independent_secondary,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_cd5f7bd3691bb2ab,Ontec Systems,web,,,https://ontec.co.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_cdecc55785a2e84f,ArkFlow,web,,,https://arkflow.co.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_ce66de76e13fdbb2,KTH Royal Institute of Technology,web,,,https://www.kth.se/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_daca46ab58257600,ELDO,web,,,https://www.eldo.co.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_e2ddc978cdfc609e,OnSSET,web,,,https://energy-modelling-tools.github.io/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_ec6de7af3271ca57,Esri,web,,,https://www.esri.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_f40fb35a1ff7b6b4,PowerOptimal,web,,,https://poweroptimal.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_fb079d462f92954d,ARC Ride,web,,,https://arcrideglobal.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
srcreg_afd_news,Agence Française de Développement news and programme reporting,official_dfi,NG,distribution_utility_operations,https://www.afd.fr/,manual_search,false,event_driven,customer_or_official,en,2026-07-30,2026-10-30,active,Programme administrator; inspect funding relationship and claim provenance before assigning evidence status. Batch 001 rights treatment reviewed 2026-07-30.
srcreg_beacon_provider,Beacon Power Services website,provider_website,NG,distribution_utility_operations|retail_metering_billing_payments,https://beaconpowerservices.com/,provider_monitoring,false,monthly,provider_authored,en|fr,2026-07-30,2026-08-30,candidate_review,Use for product descriptions and current URLs only unless independently corroborated.
srcreg_digital_energy,Digital Energy Facility project profiles,official_programme,NG,distribution_utility_operations|paygo_minigrid_operations,https://digital-energy.eu/,project_directory,false,quarterly,customer_or_official,en|fr,2026-07-30,2026-10-30,active,Official grant-programme source. Distinguish programme statements from customer confirmation and provider-supplied outcomes. Batch 001 rights treatment reviewed 2026-07-30.
srcreg_powerlabs_provider,PowerLabs website,provider_website,NG,ci_behind_meter,https://powerlabstech.com/,provider_monitoring,false,monthly,provider_authored,en,2026-07-30,2026-08-30,active,Use for product descriptions and current URLs only; provider deployment claims remain claims. Batch 001 rights treatment reviewed 2026-07-30.
srcreg_proparco,Proparco reports and investment news,official_dfi,NG,distribution_utility_operations,https://proparco.fr/,manual_search,false,event_driven,customer_or_official,en,2026-07-30,2026-10-30,active,"Investor and DFI source; direct customer quotations may support deployments, while investment and outcome claims require corroboration. Batch 001 rights treatment reviewed 2026-07-30."
srcreg_techcabal,TechCabal editorial reporting,independent_media,NG,ci_behind_meter,https://techcabal.com/,manual_search,false,event_driven,independent_secondary,en,2026-07-30,2026-10-30,active,Separate independently reported facts from statements attributed to founders or providers. Batch 001 rights treatment reviewed 2026-07-30.
