id,entity_type,entity_id,field_name,old_value,new_value,changed_at,changed_by,review_note
chg_4ec506e5621add01,deployments,dep_001,lifecycle_status,pilot,active,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_55c77ac8336f9080,organisations,org_002,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_5ba08054c5d30c4f,deployments,dep_003,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_5be1e3704d7d8cfc,organisations,org_003,website,https://powerlabs.energy/,https://powerlabstech.com/,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_60d05d16d86c0c84,products,prod_003,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_74839fdb9d54a6aa,deployments,dep_004,lifecycle_status,pilot,active,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_74ea5f3ca5e753a6,products,prod_004,description,Smart metering; payments; automation; dynamic tariffs; demand response,"Real-time monitoring, smart tariffs, remote device control, payment integration and demand response",2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_7a315836254bbb2e,products,prod_001,website,https://beaconpowerservices.com/,https://beaconpowerservices.com/en/solutions/caims,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_859c9033554a0e02,organisations,org_002,headquarters_country,NG,,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_8a34fdc433b31367,products,prod_005,access_model,not_publicly_documented,commercial_service,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_8acebb8919e4cb40,products,prod_004,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_8d33a7f664e467a9,products,prod_004,lifecycle_status,pilot,active,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_91d5908cbe717187,organisations,org_003,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_966809d1442fad0e,products,prod_002,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_9b239ee67bf750bf,products,prod_005,launched_year,,2025,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_9b6091e59043ca20,products,prod_005,description,Hybrid dispatch; source orchestration; monitoring; optimisation; control,"Energy monitoring, analytics, sizing optimisation, anomaly detection and multi-source orchestration",2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_9d9daaffed31a447,products,prod_005,website,https://powerlabs.energy/,https://www.powerlabstech.com/pai-enterprise/software,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_a84193b5442a0477,deployments,dep_004,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_ac630253c0d38f31,products,prod_005,name,Pai,Pai Enterprise,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_b9b4e9e02c19fb47,products,prod_001,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_c539051ded210e69,products,prod_005,slug,pai,pai-enterprise,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_c97eb980fc03ed62,deployments,dep_003,lifecycle_status,pilot,active,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_d6f42a21319ca12f,deployments,dep_002,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_e0450fc22a478634,products,prod_002,website,https://beaconpowerservices.com/,https://beaconpowerservices.com/en/solutions/adora,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_e879cdc5cb05c892,deployments,dep_002,lifecycle_status,pilot,active,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
